site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,bundle_cell_count,bundle_missing_top_centroid_count,bundle_missing_bottom_centroid_count,bundle_missing_hydraulic_conductivity_count,bundle_missing_storage_coefficient_count,bundle_invalid_vertical_geometry_count,bundle_storage_default_value,bundle_boussinesq_steady_ready,bundle_boussinesq_transient_ready,notes
headwater_100km2_outlet_69,Headwater 100 km2 outlet 69,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,69,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_70,Headwater 100 km2 outlet 70,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,70,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_71,Headwater 100 km2 outlet 71,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,71,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_72,Headwater 100 km2 outlet 72,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,72,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_73,Headwater 100 km2 outlet 73,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,73,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_74,Headwater 100 km2 outlet 74,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,74,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_75,Headwater 100 km2 outlet 75,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,75,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_76,Headwater 100 km2 outlet 76,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,76,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_77,Headwater 100 km2 outlet 77,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,77,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_78,Headwater 100 km2 outlet 78,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,78,,,,,,,,,,,,,,,,,,,
